success,rt,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,task,imgs
"""",7439,instructions,20,217717,0.0-6.0-2.1,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","[{""page_index"":0,""viewing_time"":7439}]","""","""",喜欢的明星/小说人物,""""
"""",7967,html-button-response,21,225685,0.0-6.0-3.1,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","""",<p class='attract'>以下有两个圆圈，一个代表你自己，一个代表刚刚你想象中的她，重叠部分代表你们的亲密程度，\n                              重叠部分越大代表你们之间越亲密，请选择以下哪个可以代表你们之间的亲密度</p>\n                              <img src='distance.png' width=85%>,1,distance,""""
"""",4975,instructions,22,230661,0.0-6.0-4.1,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","[{""page_index"":0,""viewing_time"":4975}]","""","""","""",""""
"""",3255,html-button-response,23,233917,0.0-6.0-5.1,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","""",<img src='lma-1.jpg'>\n                          <p class='attract'>该异性对您来说吸引力评分是</p>\n                          <p class='tips'>(1代表吸引力非常小，9代表吸引力非常大)</p>,1,post_test,lma-1.jpg
"""",null,html-keyboard-response,24,234422,0.0-6.0-0.2,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","""",+,null,"""",""""
"""",4959,html-button-response,25,239382,0.0-6.0-1.2,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","""",<img src='pma-9.png'>\n                              <p class='attract'>该异性对您来说吸引力评分是</p>\n                              <p class='tips'>(1代表吸引力非常小，9代表吸引力非常大)</p>,6,pre_test,pma-9.png
"""",1607,instructions,26,240989,0.0-6.0-2.2,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","[{""page_index"":0,""viewing_time"":1606}]","""","""",素不相识,""""
"""",3279,html-button-response,27,244269,0.0-6.0-3.2,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","""",<p class='attract'>以下有两个圆圈，一个代表你自己，一个代表刚刚你想象中的她，重叠部分代表你们的亲密程度，\n                              重叠部分越大代表你们之间越亲密，请选择以下哪个可以代表你们之间的亲密度</p>\n                              <img src='distance.png' width=85%>,0,distance,""""
"""",2431,instructions,28,246701,0.0-6.0-4.2,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","[{""page_index"":0,""viewing_time"":2431}]","""","""","""",""""
"""",967,html-button-response,29,247669,0.0-6.0-5.2,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","""",<img src='pma-9.png'>\n                          <p class='attract'>该异性对您来说吸引力评分是</p>\n                          <p class='tips'>(1代表吸引力非常小，9代表吸引力非常大)</p>,7,post_test,pma-9.png
