男,1
女,0
本科生，0
研究生，1
异性恋，0
同性恋，1
单身，0
恋爱中，1
已婚，2
离异，0
很差，1
一般，2
幸福，3
农村户口，0
城市户口，1
爸爸妈妈，0
爷爷奶奶，1
外公外婆，2
保姆阿姨，3
其他亲戚，4
